"max(`INSPECTION DATE`)",Number_of_violations,AIRPORT
27/10/2014,64,ABE
27/09/2016,103,CDC
27/09/2014,22,ABE
27/09/2013,9,DFW
27/08/2016,2,JNU
27/08/2015,66,ABI
27/08/2014,83,ABE
27/08/2013,4,ABE
27/07/2017,102,ABI
27/07/2016,83,ABE
27/07/2015,80,ABI
27/07/2013,1,NULL
27/06/2017,84,ABE
27/06/2016,47,ERI
27/06/2015,12,GSP
27/06/2014,46,ABE
27/06/2013,3,PSP
27/05/2017,3,FLL
27/05/2016,88,ABE
27/05/2015,92,ABE
27/05/2014,30,HOU
27/04/2017,76,ABI
27/04/2016,84,ABE
27/04/2015,77,ABE
27/03/2017,69,CLE
27/03/2015,53,FAI
27/03/2014,36,ABE
27/02/2017,75,ABE
27/02/2016,32,AEX
27/02/2015,51,ABI
27/02/2014,30,MCI
27/01/2017,40,ABI
27/01/2016,80,ABI
27/01/2014,18,ABI
26/12/2014,40,ROW
26/12/2013,12,ABI
26/11/2016,2,GTF
26/11/2014,90,ABE
26/11/2013,10,ABI
26/10/2016,90,ABI
26/10/2015,72,ABI
26/10/2013,8,ISP
26/09/2016,94,ABE
26/09/2015,14,MKE
26/09/2014,48,EAU
26/09/2013,12,PIA
26/08/2017,3,DCA
26/08/2016,51,ABI
26/08/2015,78,TPA
26/08/2014,69,ABI
26/08/2013,6,MHK
26/07/2017,109,ABE
26/07/2016,78,ABE
26/07/2014,13,ABE
26/06/2017,72,ABE
26/06/2016,1,FCA
26/06/2015,50,WYS
26/06/2014,67,DCA
26/06/2013,2,CRP
26/05/2017,43,FSD
26/05/2016,114,ABI
26/05/2015,109,ABE
26/04/2017,87,ABI
26/04/2016,83,ABE
26/04/2014,8,ORH
26/04/2013,1,NULL
26/03/2016,10,GRB
26/03/2015,90,ABI
26/03/2014,32,ABI
26/03/2013,1,HRL
26/02/2017,2,DFW
26/02/2016,51,ABI
26/02/2015,105,ABE
26/02/2014,25,ABI
26/01/2017,89,ABE
26/01/2016,73,ABE
26/01/2015,52,ABI
25/11/2016,54,ABE
25/11/2015,57,ABI
25/11/2014,92,ABE
25/11/2013,10,ADQ
25/10/2016,70,ABE
25/10/2015,2,COS
25/10/2014,13,DAL
25/10/2013,11,CHS
25/09/2015,52,ABI
25/09/2014,77,ABI
25/09/2013,10,ABI
25/08/2017,53,ABI
25/08/2016,100,ABE
25/08/2015,65,ABI
25/08/2014,56,ABE
25/07/2017,120,ABE
25/07/2016,55,GGG
25/07/2015,4,DAB
25/07/2014,32,EGE
25/06/2016,14,OME
25/06/2015,92,ABI
25/06/2014,72,ABE
25/05/2017,76,ABE
25/05/2016,95,ABI
25/05/2013,1,ABE
25/04/2017,92,ABE
25/04/2016,69,ABE
25/04/2015,11,ABI
25/04/2014,35,ABE
25/04/2013,1,
25/03/2017,16,OAK
25/03/2016,44,ABI
25/03/2015,111,ABE
25/03/2014,37,LIH
25/03/2013,2,YAK
25/02/2017,21,HIB
25/02/2016,76,PSE
25/02/2015,90,MLI
25/02/2014,33,ABI
25/01/2017,87,ABE
25/01/2016,63,SFO
25/01/2015,1,PNS
25/01/2014,2,NULL
24/12/2016,7,DBQ
24/12/2015,30,ABI
24/12/2014,65,ABE
24/12/2013,7,SGF
24/11/2015,68,ABE
24/11/2014,85,ABE
24/10/2016,62,ABE
24/10/2015,33,ABE
24/10/2014,36,ABE
24/10/2013,12,ABI
24/09/2016,25,ABI
24/09/2015,56,ABE
24/09/2014,89,ABI
24/09/2013,8,ORD
24/08/2017,112,ABI
24/08/2016,103,ABE
24/08/2015,83,ABE
24/08/2014,2,GFK
24/08/2013,1,PHF
24/07/2017,102,ABE
24/07/2015,61,ABI
24/07/2014,76,ABE
24/07/2013,5,RHI
24/06/2017,9,ABI
24/06/2016,52,ABI
24/06/2015,84,ABE
24/06/2014,46,ABE
24/05/2017,70,ABI
24/05/2016,107,ABE
24/05/2015,2,COS
24/05/2014,13,ABE
24/04/2017,89,ATW
24/04/2016,11,CPR
24/04/2015,49,ABE
24/04/2014,32,RDU
24/04/2013,1,CNY
24/03/2017,57,ABI
24/03/2016,101,ABI
24/03/2015,103,ABI
24/03/2014,25,ABI
24/02/2017,53,ABI
24/02/2016,84,ABI
24/02/2015,97,ABE
24/02/2014,16,ABE
24/01/2017,88,ABI
24/01/2015,12,HRL
24/01/2014,22,EGE
23/12/2016,37,ABE
23/12/2015,57,ABE
23/12/2014,86,ABI
23/12/2013,16,PHF
23/11/2016,46,ABE
23/11/2015,71,ABI
23/11/2014,1,DLH
23/11/2013,3,PSC
23/10/2016,1,DSM
23/10/2015,50,ABI
23/10/2014,88,ABI
23/10/2013,11,DSM
23/09/2016,55,ABE
23/09/2015,86,ABE
23/09/2014,72,ABI
23/09/2013,4,DFW
23/08/2017,126,ABE
23/08/2016,79,ABI
23/08/2015,1,
23/08/2014,5,NULL
23/08/2013,3,MKE
23/07/2016,5,DLG
23/07/2015,83,ABE
23/07/2014,68,ABI
23/07/2013,2,DFW
23/06/2017,44,ABE
23/06/2016,75,ABI
23/06/2015,75,ABI
23/06/2014,29,ABI
23/05/2017,72,ABE
23/05/2016,65,ABE
23/05/2015,15,ABE
23/05/2014,27,ABI
23/04/2016,31,CMX
23/04/2015,105,ABI
23/04/2014,36,LWS
23/03/2017,76,ABI
23/03/2016,78,ABE
23/03/2015,93,ABE
23/02/2017,85,ABE
23/02/2016,85,HYS
23/02/2015,75,ABE
23/01/2017,77,ABI
23/01/2015,38,BRW
23/01/2014,17,LAS
22/12/2016,74,CPR
22/12/2015,73,ABI
22/12/2014,61,ABE
22/11/2016,74,ABI
22/11/2014,22,ABE
22/11/2013,7,ABI
22/10/2016,18,DLG
22/10/2015,52,ABI
22/10/2014,88,ABE
22/10/2013,16,ABI
22/09/2016,87,AGS
22/09/2015,73,ABI
22/09/2014,72,ABI
22/08/2017,102,ABI
22/08/2016,68,ABI
22/08/2015,11,NULL
22/08/2014,46,BFL
22/08/2013,2,
22/07/2017,8,ABE
22/07/2016,78,CMH
22/07/2015,89,ABI
22/07/2014,62,ABE
22/07/2013,3,ABE
22/06/2017,98,ABE
22/06/2016,84,DAB
22/06/2015,82,ABI
22/06/2013,3,RAP
22/05/2017,66,ABE
22/05/2016,13,MLI
22/05/2015,57,ABE
22/05/2014,58,ABE
22/04/2017,7,PUB
22/04/2016,46,ABI
22/04/2015,97,ABE
22/04/2014,40,MOB
22/03/2017,67,ABI
22/03/2016,81,ABE
22/03/2015,1,HNL
22/03/2014,17,DLG
22/02/2017,90,ABI
22/02/2016,82,ABE
22/02/2014,17,SCC
22/01/2016,65,ABI
22/01/2015,87,ABE
22/01/2014,4,IMT
21/12/2016,71,ABE
21/12/2015,62,ABE
21/12/2013,2,NULL
