user,bookmarks,county,state,grams,cal,cal_fat,col,fiber,sodium,carbs,fat,protein,sugar,cal_n,cal_fat_n,carbs_n,col_n,fat_n,fiber_n,protein_n,sodium_n,sugar_n,saturated_fat_n,carbs_w,fat_w,fiber_w,protein_w,sodium_w,sugar_w,saturated_fat_w,diabetis,obese
5,20,Valdez-Cordova, Alaska,363.35,279.5690959,148.3,0.05705,3.6,0.6358,43.445,16.485,11.33,16.635,192.9868885,80.37040836,23.90189712,0.030745374,8.931280871,1.347472835,4.829253447,0.260838928,11.36164514,3.613812896,52.26695548,36.48815254,0.428571429,11.24489199,0.075690476,23.16734299,13.8888145,,
5,26,Valencia, New Mexico,356.2307692,234.0388999,169.2692308,0.090423077,2.138461538,0.645192308,25.88846154,18.81538462,20.50384615,7.338461538,194.2426257,91.89906587,17.34857154,0.039530205,10.22871021,1.144231616,8.637985743,0.275207917,7.942148037,3.745158844,35.14677509,44.17525083,0.254578755,20.67797408,0.076808608,13.15336055,15.28000352,9,27.1
3,18,Van Buren, Arkansas,321.3888889,170.3500039,176.2222222,0.069166667,1.805555556,0.502055556,23.51666667,19.56666667,12.10555556,8.861111111,244.8852408,122.2212979,24.17904354,0.040179538,13.55699876,1.684948597,7.601149303,0.323927539,11.9022503,4.327241486,40.2842302,46.16218218,0.21494709,13.55358762,0.059768519,21.74515147,14.73378003,13.6,35
1,40,Van Buren, Iowa,384.575,240.9269249,174.825,0.09405,2.4575,0.62535,32.3325,19.42,20.1375,10.1025,197.2787502,102.3777368,15.81597425,0.047264914,11.36241294,1.098026303,8.25544893,0.376941197,4.875626641,4.882216423,34.57761447,45.49676194,0.292559524,19.92562359,0.074446429,11.26241731,18.56026611,10.7,32.2
7,452,Van Buren, Michigan,346.2809735,203.7966176,170.2345133,0.066360619,2.58960177,0.624396018,29.93053097,18.91460177,14.62168142,11.61969027,222.907535,111.4024068,21.63287448,0.038383306,12.37180623,1.373407112,6.995975067,0.315992167,10.90719961,4.869821346,36.95914682,47.15038258,0.308285925,15.8904706,0.074332859,15.98571981,18.2586531,12.1,33.7
1,43,Van Wert, Ohio,257.9767442,168.5426375,113.7674419,0.063069767,1.490697674,0.417023256,18.11162791,12.64651163,17.4255814,8.334883721,200.2920152,82.17969259,19.81096193,0.04289033,9.143440972,1.124335032,9.743083731,0.254139474,10.48337101,3.802893958,31.95196165,39.28836621,0.177464009,28.75967214,0.049645626,15.61401579,15.00575546,14.1,36.7
4,61,Van Zandt, Texas,337.3442623,237.9510889,145.8688525,0.060065574,3.036065574,0.688836066,33.09344262,16.20655738,15.14098361,12.3557377,210.3982148,96.0045209,22.66854567,0.032730421,10.66006295,1.42486962,6.624074956,0.288580138,11.06217523,4.461840164,39.35896631,43.01448434,0.361436378,17.62654935,0.082004294,15.7798525,16.89884592,11.5,31.3
5,31,Vance, North Carolina,387.5806452,284.1411741,195.3225806,0.081064516,2.948387097,0.608903226,32.95806452,21.69032258,16.18387097,11.2516129,192.3521156,105.3572884,16.42869039,0.037118827,11.66789032,1.044951246,6.145657305,0.305347032,7.736348067,4.399197386,34.40461206,49.89111063,0.350998464,15.70427731,0.072488479,14.24211098,18.08685366,13.4,36.9
26,883,Vanderburgh, Indiana,313.594564,203.05464,141.4767837,0.053603624,2.666138165,0.603244621,29.10430351,15.71766704,14.34360136,8.914496036,198.9075557,90.98769081,20.74667458,0.029863745,10.07704562,1.52135,6.875421694,0.355364494,8.440536522,3.842174415,41.06632387,41.9986957,0.317397401,16.93498043,0.071814836,14.77844968,15.50877015,12.4,34.2
3,14,Venango, Pennsylvania,296.9285714,212.7176529,136.1428571,0.049214286,2.9,0.818857143,28.76428571,15.13571429,12.81428571,10.42142857,203.8273056,96.79616666,21.97295746,0.030241461,10.77551723,1.470678796,6.03760913,0.362613367,11.15523404,4.64384032,39.70299254,44.51008299,0.345238095,15.78692446,0.097482993,16.85597907,19.13928091,12.5,34
66,1204,Ventura, California,331.9975083,220.575008,157.1478405,0.063462625,2.515614618,0.616412791,28.54194352,17.45930233,15.59551495,10.92267442,195.894513,94.03457343,19.01526362,0.033578452,10.4442753,1.283070009,7.015091971,0.33192734,9.010948672,4.006811007,37.518795,44.72753483,0.299477931,17.75367017,0.073382475,16.00839453,16.73177432,7.5,20.6
3,10,Vermilion, Illinois,342.1,245.4366056,158.4,0.0684,2.19,0.5797,32.72,17.61,13.59,10.2,197.0079313,98.69819793,18.90468054,0.051822974,10.95555076,1.150717586,6.371729548,0.599842553,5.248636511,3.928630872,36.15006499,46.69774779,0.260714286,17.15218722,0.069011905,9.764138747,18.1902686,13.1,37.3
3,10,Vermilion, Louisiana,203.9,102.3234434,77.5,0.0214,3.01,0.3549,25.14,8.6,6.97,6.84,246.2904564,95.03599907,31.52383715,0.026162809,10.53521183,2.499961876,7.152686847,0.360001345,9.999101342,4.470513718,50.90890427,36.82605375,0.358333333,12.26504198,0.04225,13.91153058,15.23389937,,
6,136,Vernon, Louisiana,372.1617647,208.2559608,180.8823529,0.072992647,2.038970588,0.707110294,29.47205882,20.09926471,18.39632353,9.272794118,221.8651485,108.4063159,20.54026389,0.037209353,12.04726447,1.199582855,8.406832729,0.435180484,9.340354295,5.394809067,34.94988092,46.64470228,0.242734594,18.4054168,0.084179797,13.39542054,20.65192168,,
6,101,Vernon, Missouri,341.980198,219.5784865,160.1485149,0.070267327,2.051485149,0.881227723,30.68415842,17.79306931,14.75841584,12.95940594,203.6895273,94.97351585,20.91383562,0.038301189,10.55554497,1.024743602,6.724882465,0.331898424,9.927291681,4.369229493,37.17633597,46.16751707,0.244224422,16.65614697,0.104908062,15.75400115,17.9600245,12.6,31.1
6,112,Victoria, Texas,342.4017857,216.1033353,170.875,0.065276786,2.576785714,0.651919643,28.33571429,18.98928571,15.22142857,9.541964286,226.0999446,124.7934047,18.85243664,0.034829604,13.86949723,1.09466315,7.060100347,0.377093899,8.804738739,4.844406787,33.39099489,49.31611199,0.306760204,17.29289312,0.077609481,12.60813964,18.16977075,11.8,34
18,611,Vigo, Indiana,358.0589198,216.8907619,167.5973813,0.067288052,2.333387889,0.623734861,31.52225859,18.62144026,16.48346972,12.42847791,213.3045455,100.18429,21.5761598,0.035595747,11.12815952,1.227501262,7.227777473,0.380382968,10.68529531,4.446302082,38.34183373,44.00880795,0.277784272,17.64935832,0.07425415,16.78006523,16.89195264,10.2,32.9
2,20,Vilas, Wisconsin,288.45,200.3336703,134.15,0.05235,3.165,0.63115,25.125,14.895,13.455,8.25,205.1501976,97.61166069,20.05790422,0.029246991,10.84237738,1.54729364,7.274734851,0.350972709,8.541004205,3.894944791,34.16152715,47.12685945,0.376785714,18.7116134,0.075136905,12.22620984,17.46344612,11.7,27.4
2,8,Vinton, Ohio,166.125,75.63819426,63.75,0.02925,1.375,0.253875,21.5625,7.075,4.775,9.1125,262.482666,103.2207731,34.92274685,0.045888075,11.45582289,1.801856633,5.975030151,0.34017975,15.71715946,5.924471861,48.10614472,40.35698787,0.163690476,11.53686741,0.030223214,19.74239164,20.55260454,13.9,31.3
